,RunId,iteration,Step,init_people,rich_threshold,reserve_percent,Rich,Poor,Middle Class,Savings,Wallets,Money,Loans,AgentID,Wealth
0,0,0,1000,25,5,5,11,5,7,251,0,251,173,1,2
1,0,0,1000,25,5,5,11,5,7,251,0,251,173,2,44
2,0,0,1000,25,5,5,11,5,7,251,0,251,173,3,-22
3,0,0,1000,25,5,5,11,5,7,251,0,251,173,4,-10
4,0,0,1000,25,5,5,11,5,7,251,0,251,173,5,8
5,0,0,1000,25,5,5,11,5,7,251,0,251,173,6,17
6,0,0,1000,25,5,5,11,5,7,251,0,251,173,7,5
7,0,0,1000,25,5,5,11,5,7,251,0,251,173,8,1
8,0,0,1000,25,5,5,11,5,7,251,0,251,173,9,2
9,0,0,1000,25,5,5,11,5,7,251,0,251,173,10,51
10,0,0,1000,25,5,5,11,5,7,251,0,251,173,11,14
11,0,0,1000,25,5,5,11,5,7,251,0,251,173,12,-22
12,0,0,1000,25,5,5,11,5,7,251,0,251,173,13,10
13,0,0,1000,25,5,5,11,5,7,251,0,251,173,14,57
14,0,0,1000,25,5,5,11,5,7,251,0,251,173,15,7
15,0,0,1000,25,5,5,11,5,7,251,0,251,173,16,3
16,0,0,1000,25,5,5,11,5,7,251,0,251,173,17,12
17,0,0,1000,25,5,5,11,5,7,251,0,251,173,18,-64
18,0,0,1000,25,5,5,11,5,7,251,0,251,173,19,-2
19,0,0,1000,25,5,5,11,5,7,251,0,251,173,20,9
20,0,0,1000,25,5,5,11,5,7,251,0,251,173,21,7
21,0,0,1000,25,5,5,11,5,7,251,0,251,173,22,-1
22,0,0,1000,25,5,5,11,5,7,251,0,251,173,23,-23
23,0,0,1000,25,5,5,11,5,7,251,0,251,173,24,2
24,0,0,1000,25,5,5,11,5,7,251,0,251,173,25,-29
25,1,0,1000,25,10,5,12,8,3,422,5,427,251,1,38
26,1,0,1000,25,10,5,12,8,3,422,5,427,251,2,30
27,1,0,1000,25,10,5,12,8,3,422,5,427,251,3,-21
28,1,0,1000,25,10,5,12,8,3,422,5,427,251,4,65
29,1,0,1000,25,10,5,12,8,3,422,5,427,251,5,40
30,1,0,1000,25,10,5,12,8,3,422,5,427,251,6,10
31,1,0,1000,25,10,5,12,8,3,422,5,427,251,7,-12
32,1,0,1000,25,10,5,12,8,3,422,5,427,251,8,8
33,1,0,1000,25,10,5,12,8,3,422,5,427,251,9,30
34,1,0,1000,25,10,5,12,8,3,422,5,427,251,10,20
35,1,0,1000,25,10,5,12,8,3,422,5,427,251,11,-5
36,1,0,1000,25,10,5,12,8,3,422,5,427,251,12,-38
37,1,0,1000,25,10,5,12,8,3,422,5,427,251,13,-12
38,1,0,1000,25,10,5,12,8,3,422,5,427,251,14,27
39,1,0,1000,25,10,5,12,8,3,422,5,427,251,15,-29
40,1,0,1000,25,10,5,12,8,3,422,5,427,251,16,6
41,1,0,1000,25,10,5,12,8,3,422,5,427,251,17,-37
42,1,0,1000,25,10,5,12,8,3,422,5,427,251,18,27
43,1,0,1000,25,10,5,12,8,3,422,5,427,251,19,-38
44,1,0,1000,25,10,5,12,8,3,422,5,427,251,20,-10
45,1,0,1000,25,10,5,12,8,3,422,5,427,251,21,-49
46,1,0,1000,25,10,5,12,8,3,422,5,427,251,22,37
47,1,0,1000,25,10,5,12,8,3,422,5,427,251,23,35
48,1,0,1000,25,10,5,12,8,3,422,5,427,251,24,37
49,1,0,1000,25,10,5,12,8,3,422,5,427,251,25,12
50,2,0,1000,100,5,5,50,42,8,2563,7,2570,2219,1,-81
51,2,0,1000,100,5,5,50,42,8,2563,7,2570,2219,2,27
52,2,0,1000,100,5,5,50,42,8,2563,7,2570,2219,3,-56
53,2,0,1000,100,5,5,50,42,8,2563,7,2570,2219,4,53
